Brand,Series,Thickness,Weight,Operating System,Display Size,Display Touchscreen,Processor,Graphic Processor,RAM_Capacity_GB,RAM Type,SSD Capacity,HDD Capacity,Battery Capacity,Fingerprint scanner,Price (Rs)
HP,Pavilion,17.0,1.41,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel iris x,16.0,DDR4,512.0,,,No,71990.0
Acer,Predator Helios Neo 16,26.5,2.6,Windows 11 Home Basic,16.0,No,intel core i7-13700hx (13th gen),nvidia geforce rtx 4050,16.0,DDR5,512.0,,,,105999.0
Dell,Inspiron 15,22.7,2.2,Windows 10 Home Basic,15.6,No,intel core i5-8250u (8th gen),amd radeon 530,8.0,DDR4,,2.0,,No,54999.0
MSI,,29.0,2.2,DOS,15.6,No,intel core i7-7700hq (7th gen),nvidia geforce gtx 1050,8.0,DDR4,,1.0,,No,67990.0
Dell,Inspiron 15,23.0,1.8,Windows 11 Home Basic,15.6,No,amd dual core athlon 3050u,amd radeon,4.0,DDR4,256.0,,,,42210.0
HP,,17.9,1.7,Windows 10 Home Basic,15.6,No,amd hexa core ryzen 5 4500u,amd radeon,8.0,DDR4,256.0,,,No,47990.0
Lenovo,Ideapad Slim 3i,19.9,1.85,Windows 10 Home Basic,15.6,No,intel core i5-10210u (10th gen),intel integrated graphics,8.0,DDR4,,1.0,,No,44990.0
iBall,,24.0,1.3,Windows 10 Home Basic,14.0,Yes,intel pentium quad core n4200,intel hd graphics,4.0,DDR3,32.0,,,No,13990.0
Asus,VivoBook Pro,19.0,1.45,Windows 11 Home Basic,14.0,No,amd octa core ryzen 7-5800h,nvidia geforce rtx 3050,16.0,DDR4,512.0,,63.0,Yes,89990.0
Asus,Zenbook,15.9,1.25,Windows 10 Professional,14.0,No,intel core i5-8250u (8th gen),intel uhd 620,8.0,DDR4,256.0,,,Yes,45990.0
Lenovo,Ideapad,19.9,1.65,Windows 10 Home Basic,15.6,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,512.0,,,No,81090.0
Asus,VivoBook Flip 14,17.6,1.5,Windows 10 Home Basic,14.0,No,intel core i3-10110u (10th gen),intel uhd,4.0,DDR4,512.0,,,No,46990.0
Acer,Aspire 5,21.0,2.1,Linux,15.6,No,intel core i5-7200u (7th gen),nvidia geforce mx130,8.0,DDR4,,1.0,,No,44890.0
Dell,Inspiron 17,25.4,2.62,Windows 10 Home Basic,15.6,No,intel core i5-7300hq (7th gen),nvidia geforce gtx 1050t,8.0,DDR4,,1.0,,No,64990.0
Dell,Inspiron 15,25.1,2.5,Windows 10 Home Basic,15.6,No,intel core i5-7200u (7th gen),amd radeon r5 m430,4.0,DDR4,,1.0,,No,44182.0
MSI,,15.9,1.19,Windows 10 Home Basic,14.0,No,intel core i5-10510u (10th gen),intel uhd,8.0,DDR4,512.0,,,No,54990.0
Lenovo,Ideapad Gaming 3i,25.0,2.2,Windows 10 Home Basic,15.6,No,amd hexa core ryzen 5 4600h,nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,66490.0
Asus,VivoBook 15,19.9,1.8,Windows 10 Home Basic,15.6,No,intel core i5-1035g1 (10th gen),intel uhd,8.0,DDR4,256.0,1.0,,Yes,50990.0
Lenovo,Ideapad,17.9,1.66,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 5500u,amd radeon,8.0,DDR4,512.0,,,Yes,48440.0
MSI,Alpha 15,23.9,2.35,Windows 10 Home Basic,15.6,No,amd octa core ryzen 7 5800h,amd radeon rx 6600m,16.0,DDR4,1.0,,,No,114990.0
Asus,VivoBook 14,21.0,1.6,Windows 11 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,256.0,1.0,,Yes,65999.0
MSI,Alpha 15,23.9,2.35,Windows 11 Home Basic,15.6,No,amd octa core ryzen 7 - 5800h,amd radeon rx 6600m,8.0,DDR4,512.0,,,,84990.0
Asus,VivoBook 15,19.9,1.8,Windows 11 Home Basic,15.6,No,intel core i3-1005g1 (10th gen),intel uhd,8.0,DDR4,,1.0,,Yes,27990.0
MSI,Modern 14,19.3,1.4,Windows 11 Home Basic,14.0,No,intel core i5-1235u (12th gen),intel iris xe,16.0,DDR4,512.0,,,,40499.0
Acer,Predator Helios 300,26.7,2.7,Windows 10 Home Basic,15.6,No,intel core i5-8300h (8th gen),nvidia geforce gtx 1060,16.0,DDR4,128.0,1.0,,No,125990.0
HP,Pavilion,17.0,1.14,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,512.0,,,No,59860.0
HP,,23.8,1.86,Windows 10 Home Basic,15.6,No,amd dual core e2-9000e,amd radeon r2,4.0,,,1.0,,No,24955.0
HP,Victus,23.5,2.46,Windows 10 Home Basic,16.1,No,amd hexa core ryzen 5 5600h,nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,62112.0
HP,Pavilion Gaming,23.4,2.23,Windows 10 Home Basic,15.6,No,intel core i5-11300h (11th gen),nvidia geforce gtx 1650,8.0,DDR4,256.0,1.0,,No,68200.0
Lenovo,Ideapad Gaming 3i,24.9,2.2,Windows 10 Home Basic,15.6,No,intel core i7-10750h (10th gen),nvidia geforce gtx 1650 ti,8.0,DDR4,256.0,1.0,,No,82990.0
Lenovo,Ideapad,24.2,2.25,Windows 11 Home Basic,15.6,No,intel core i5-11300h (11th gen),nvidia geforce gtx 1650,8.0,DDR4,512.0,,,,48411.0
Lenovo,Ideapad,19.9,1.85,Windows 10 Home Basic,15.6,No,amd quad core ryzen 5 3500u,amd radeon vega 8,8.0,DDR4,,1.0,,No,38990.0
MSI,GF63 Thin,22.0,1.86,Windows 10 Home Basic,15.6,No,intel core i7-11800h (11th gen),nvidia geforce gtx 1650 max q,8.0,DDR4,512.0,,,No,71490.0
Lenovo,Legion,26.1,2.3,Windows 10 Home Basic,15.6,No,intel core i5-10300h (10th gen),nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,62490.0
Acer,Swift 5,14.9,0.97,Windows 10 Home Basic,14.0,No,intel core i7-8550u (8th gen),intel uhd 620,8.0,DDR4,512.0,,,Yes,84990.0
HP,Chromebook,18.0,1.46,Google Chrome,14.0,No,intel celeron - n4500,intel uhd graphics,4.0,LPDDR4,,,,,20590.0
Acer,Aspire 3,19.9,1.9,Windows 11 Home Basic,15.6,No,amd dual core ryzen 3-3250u,amd radeon,8.0,DDR4,256.0,,,,26999.0
HP,,23.8,1.86,DOS,15.6,No,intel core i5-7200u (7th gen),amd radeon 520,8.0,DDR4,,1.0,,No,42990.0
Dell,Inspiron 15,20.0,1.83,Windows 10 Home Basic,15.6,No,amd dual core ryzen 3 3250u,amd radeon vega,8.0,DDR4,256.0,,,No,40190.0
Avita,Satus,16.9,1.3,Windows 11 Home Basic,14.1,No,intel celeron dual core- n4020,intel integrated,4.0,LPDDR4,128.0,,,No,18990.0
HP,Pavilion,20.0,1.5,Windows 11 Home Basic,14.0,No,intel core i3-1125g4 (11th gen),intel uhd,8.0,DDR4,512.0,,,Yes,49990.0
HP,,23.8,1.86,Windows 10,15.6,No,intel core i5-7200u (7th gen),amd radeon 520,8.0,DDR4,,1.0,,No,50790.0
Asus,Vivobook,18.9,1.8,Windows 11 Home Basic,16.0,No,intel core i5-12450h (12th gen),nvidia geforce rtx 3050,16.0,DDR4,512.0,,,Yes,66990.0
Acer,Nitro 5,25.9,2.6,Windows 11 Home Basic,15.6,No,intel core i5-12450h (12th gen),nvidia geforce rtx 3050,8.0,DDR4,512.0,,,,77425.0
Avita,Satus,17.0,1.3,Windows 11 Home Basic,14.1,No,intel celeron dual core - n4020,intel uhd 600,4.0,LPDDR4,128.0,,,No,17490.0
HP,,24.0,1.7,Windows 11 Home Basic,15.6,No,intel core i3-1125g4 (11th gen),intel uhd,8.0,DDR4,512.0,,,,32800.0
realme,,15.5,1.37,Windows 11,14.0,,intel core i5-11320h (11th gen),intel iris xe,16.0,DDR4,512.0,,,Yes,64990.0
Acer,Aspire,20.9,2.2,Windows 10 Home Basic,15.6,No,intel core i5-8250u (8th gen),nvidia geforce mx 150,8.0,DDR4,,1.0,,No,50279.0
Lenovo,Ideapad,19.9,1.85,Windows 10 Home Basic,15.6,No,intel core i5-1035g1 (10th gen),intel uhd,8.0,DDR4,,1.0,,No,42990.0
MSI,,21.7,1.86,Windows 10 Home Basic,15.6,No,intel core i7 (10th gen),nvidia geforce rtx 3050,16.0,DDR4,512.0,,,No,72990.0
Acer,Nitro 5,26.9,2.5,Windows 11 Home Basic,15.6,No,intel core i5-12450h (12th gen),nvidia geforce rtx 3050,16.0,DDR4,512.0,,,No,70990.0
Asus,Vivobook,17.9,1.8,Windows 10 Home Basic,15.6,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,,1.0,,No,51990.0
Lenovo,Ideapad Slim 3i,19.9,1.6,Windows 11 Home Basic,15.6,No,intel core i3 - 1215u (12th gen),intel uhd,8.0,DDR4,512.0,,,No,32990.0
Lenovo,Flex 5,17.9,1.65,Windows 10 Home Basic,14.0,No,amd hexa core ryzen 5 4500u,amd radeon uhd,8.0,DDR4,512.0,,,No,58990.0
HP,Pavilion,17.9,1.75,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 - 5625u,amd radeon,8.0,DDR4,512.0,,41.0,,41989.0
HP,Pavilion,23.5,1.98,Windows 11 Home Basic,15.6,No,amd ryzen 7-5800h,nvidia geforce rtx 3050,16.0,DDR4,512.0,,,No,67999.0
Asus,TUF,22.0,2.3,Windows 10 Home Basic,15.6,No,intel core i5-11400h (11th gen),nvidia geforce rtx 3050,8.0,DDR4,1.0,,,No,57999.0
Apple,MacBook Air,11.3,1.24,macOS Sonoma,13.6,No,apple m3 chip,,8.0,,256.0,,52.6,,104990.0
Lenovo,Ideapad Slim 3i,20.0,1.8,Windows 10 Home Basic,15.6,No,intel core i5-1035g1 (10th gen),intel uhd,8.0,DDR4,,1.0,,No,39999.0
MSI,,27.5,2.33,Windows 10 Home Basic,15.6,No,amd quad core ryzen 7 3750h,amd radeon rx 5500m,16.0,DDR4,256.0,1.0,,No,69990.0
Asus,VivoBook Flip 14,17.6,1.5,Windows 10 Home Basic,14.0,Yes,intel core i3-10110u (10th gen),intel uhd,4.0,DDR4,512.0,,,No,46990.0
MSI,,21.7,1.86,Windows 10 Home Basic,15.6,No,intel core i5-10500h (10th gen),nvidia geforce rtx 3060,16.0,DDR4,512.0,,,No,89990.0
Acer,Nitro 5,26.8,2.7,Windows 10 Home Basic,15.6,No,intel core i5-8300h (8th gen),nvidia geforce gtx 1050,8.0,DDR4,16.0,1.0,,No,68990.0
Lenovo,Ideapad,,1.3,DOS,15.6,No,amd dual core a6 9225,amd radeon r4,4.0,DDR4,,1.0,,No,18990.0
Lenovo,Ideapad,,2.2,Windows 10 Home Basic,14.0,No,intel core i3-7100u (7th gen),intel hd 620,4.0,DDR4,,1.0,,No,38000.0
Acer,Predator Triton 300,19.9,1.7,Windows 10 Home Basic,15.6,No,intel core i5-10300h (10th gen),nvidia geforce gtx 1650 ti,8.0,DDR4,512.0,,,No,74990.0
Infinix,,14.8,1.24,Windows 11 Home Basic,14.0,No,intel core i5-1035g1 (10th gen),intel uhd,16.0,LPDDR4X,512.0,,,,39999.0
Asus,,22.9,1.9,Windows 10 Home Basic,15.6,No,intel core i5-1035g1 (10th gen),nvidia geforce mx110,8.0,DDR4,512.0,,,Yes,51990.0
Acer,Aspire 3,19.0,1.7,Windows 11 Home Basic,15.6,,intel core i3-1215u,intel uhd,8.0,DDR4,512.0,,,,29200.0
Asus,,13.9,0.98,Windows 10 Home Basic,13.3,No,intel core i5- 8250u (8th gen),intel uhd 620,8.0,LPDDR3,256.0,,,Yes,66490.0
Samsung,Galaxy Book,15.4,1.57,Windows 11 Home Basic,15.6,No,intel core i7-1355u (13th gen),intel iris xe,16.0,LPDDR4X,512.0,,,Yes,62990.0
Asus,,22.9,1.9,Windows 10 Home Basic,15.6,No,intel core i3-1005g1 (10th gen),intel uhd,4.0,DDR4,,1.0,,Yes,30576.0
HP,,22.5,1.77,Windows 10 Home Basic,15.6,No,amd dual core e2-9000e,amd radeon r2,4.0,DDR4,,1.0,,No,21999.0
HP,Pavilion,17.9,1.6,Windows 10 Home Basic,14.0,No,intel core i5-1035g1 (10th gen),intel uhd,8.0,DDR4,512.0,,,No,53990.0
MSI,,22.0,2.2,Windows 10 Professional,15.6,No,intel core i7-7700hq (7th gen),nvidia geforce gtx 1060,16.0,DDR4,128.0,1.0,,No,119990.0
HP,Pavilion,17.9,1.75,Windows 10 Home Basic,15.6,No,amd hexa core ryzen 5 5500u,amd radeon,8.0,DDR4,512.0,,,No,46499.0
Asus,TUF Gaming A17,25.2,2.6,Windows 10 Home Basic,17.3,No,amd hexa core ryzen 5 4600h,nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,64490.0
Lenovo,Ideapad,19.9,1.63,Windows 11 Home Basic,15.6,No,intel core i3-1215u (12th gen),intel uhd,8.0,DDR4,256.0,,45.0,,33499.0
Lenovo,Ideapad,23.0,1.85,DOS,15.6,No,intel core i5-8250u (8th gen),nvidia geforce mx110,8.0,DDR4,,1.0,35.0,No,39990.0
